word,pronunciation,meaning
strewn,,"동(타) esp literary (scatter) 흩뿌리다 "
woven,/ˈwəʊvən/,"형 (made by weaving) 실로 짠, 직조된 "
burrow,/ˈbʌrəʊ/,"동(자) (dig a hole or tunnel) 굴을 파다 
명 (animal's tunnel, hole) 굴 
명  은신처 
동(자) (move through) 굴을 파며 나아가다 
동(자)  찾다, 뒤지다 "
den,/dɛn/,"명 (animal's lair) (동물) 우리, 굴 
명 (room) 서재 "
vegetation,/ˌvɛdʒɪˈteɪʃən/,"명 uncountable (plants, greenery) 식물, 식생, 식군 
명 figurative, uncountable (inactivity) 활기 없음, 무의도식 "
leech,/liːtʃ/,"명 (creature) 거머리 
명 figurative (person) (은유적) 고리대금업자, 악랄한 사람 
동(자) figurative (use [sb] as parasite) (은유적) 달라 붙어 착취하다 "
fauna,/ˈfɔːnə/,"명 (animals) (한 지역, 시대의) 동물군, 동물상 "
flora,/ˈflɔːrə/,"명 from Latin (plants) 식물상 "
offspring,/ˈɒfˌsprɪŋ/,"명(복) (children) 자녀 
명(복) (young of animal) 동물 새끼 "
blubber,/ˈblʌbə/,"명 (whale, seal, etc.: fat) 고래 기름 
명 figurative, pejorative, slang (fat of overweight person) (속어; 체중이 많이 나가는 사람의) 과도한 지방 "
ridge,/rɪdʒ/,"명 (geography) 산등성이 
명 (raised strip) 융기 
명 (weather: high pressure) 고기압 기압 마루 "
retreat,/rɪˈtriːt/,"명 (military) (군사) 후퇴, 퇴각 
명 (place for privacy) 은둔처 
동(자) (military) 후퇴하다, 퇴각하다 
동(자)  묵상하다 
명 (from earlier statements) 철회 
명 (stay at a retreat) 피정 
동(자) (from statement, position) 물러나다 
동(자)  은퇴하다 "
forage,/ˈfɒrɪdʒ/,"동(자) (search for food) 식량을 구하다, 먹이를 찾다 
동(자) figurative (rummage around) (비유적) 샅샅이 뒤지다 
명 (search for food) 식량 구하기 "
glith,,
oversight,/ˈəʊvəˌsaɪt/,"명 ([sth] missed, forgotten) 간과한 것, 빠뜨린 것, 과실 
명 (supervision) 감독, 단속, 감시 "
dean,/diːn/,"명 (university: head of faculty) (대학) 학장, 학부장 
명 ([sb] with seniority) 어른, 고참, 장로 "
alpine,/ˈælpaɪn/,"형 (skiing: downhill) (스키) 활강의 
형 (relating to the Alps) 알프스 산맥의 
형 (high, mountainous) 높은, 고산의 "
meadow,/ˈmɛdəʊ/,"명 (field for grazing) 목초지, 초원 "
latitude,/ˈlætɪˌtjuːd/,"명 (geography: distance from equator) (지리) 위도 
명 (certain freedom, leeway) (사상, 행동의) 자유, 허용범위 "
altitude,/ˈæltɪˌtjuːd/,"명 (height above sea level) (해수면을 기준으로 한 높이) 해발 표고(標高) 
명 (height) 높이, 고도 "
camouflage,/ˈkæməˌflɑːʒ/,"명 (military: disguise, concealment) (군사) 위장, 카무플라주 
명 (military: clothing that conceals) (군사) 변장, 위장 "
disguise,/dɪsˈɡaɪz/,"명 (identity) 위장, 변장 
동(타) (alter appearance) 변장하다, 가장하다 "
manure,/məˈnjʊə/,"명 (fertilizer) 비료, 거름 "
precipitation,/prɪˌsɪpɪˈteɪʃən/,"명 (meteorology: rain, snow, etc.) (기상; 비, 눈 등) 강설, 강우 
  침전, 침강; 침전물 
명 (rush, haste) 서두름, 급함, 돌진 
명 (prompting, hastening of [sth]) 촉진, 재촉 "
lapse,/læps/,"동(자) (expire) 무효가 되다, 소멸되다 
동(자) (moral, drop of level) 타락하다, 빠지다 
명 (time passing) (시간) 경과, 추이, 지나간 시간 "
flee,/fliː/,"동(타) (run away from) _을 피해 도망치다, 달아나다, 벗어나다 
  탈출하다 "
